Location,CEast,CNorth,StationCode,Sample Date,SampleTime,MethodCode,OrganismCode,MarkCode,TagCode,RaceByTag,Fork Length,HeadNumber,CWTCount,Secchi,WaterTemperature
Sherwood Harbor,628707,4265965,SR055M,4/17/13,10:45,MWTR,CHN,AdClipped,055608,Fall,83,30023,1,0.9,15.5
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,88,30024,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,91,30025,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,89,30026,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,87,30027,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,96,30028,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,10:45,MWTR,CHN,AdClipped,060463,Spring,97,30037,1,0.9,15.5
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055593,Fall,83,30038,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,89,30039,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,94,30040,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,87,30041,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,86,30042,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,060463,Spring,84,30045,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,84,30065,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055596,Fall,80,30066,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,10:45,MWTR,CHN,AdClipped,060463,Spring,97,30067,1,0.9,15.5
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,90,30068,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,81,30069,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,92,30070,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:14,MWTR,CHN,AdClipped,055608,Fall,75,30101,1,0.82,15.8
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,89,30116,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,060463,Spring,94,30396,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055596,Fall,82,30397,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055596,Fall,85,30398,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,11:01,MWTR,CHN,AdClipped,055609,Fall,79,30399,1,0.84,16
Sherwood Harbor,628707,4265965,SR055M,4/19/13,12:04,MWTR,CHN,AdClipped,055598,Fall,79,30400,1,0.79,16.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:53,MWTR,CHN,AdClipped,060474,,82,30401,1,0.87,18.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:27,MWTR,CHN,AdClipped,060475,,67,30402,1,0.89,18.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,93,30403,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055597,Fall,88,30410,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055599,Fall,73,30411,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055597,Fall,78,30412,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,11:01,MWTR,CHN,AdClipped,055608,Fall,77,30413,1,0.84,16
Sherwood Harbor,628707,4265965,SR055M,4/19/13,12:04,MWTR,CHN,AdClipped,055596,Fall,84,30414,1,0.79,16.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:53,MWTR,CHN,AdClipped,060474,,90,30415,1,0.87,18.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:27,MWTR,CHN,AdClipped,060474,,87,30416,1,0.89,18.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055599,Fall,82,30424,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055608,Fall,74,30425,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055598,Fall,84,30426,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,12:04,MWTR,CHN,AdClipped,055593,Fall,83,30428,1,0.79,16.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:53,MWTR,CHN,AdClipped,060474,,81,30429,1,0.87,18.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:27,MWTR,CHN,AdClipped,060474,,77,30430,1,0.89,18.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055597,Fall,78,30438,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055608,Fall,78,30439,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:17,MWTR,CHN,AdClipped,055599,Fall,79,30440,1,0.85,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,12:04,MWTR,CHN,AdClipped,060463,Spring,90,30442,1,0.79,16.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060475,,70,30443,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:27,MWTR,CHN,AdClipped,060475,,75,30444,1,0.89,18.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,94,30451,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,92,30452,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:03,MWTR,CHN,AdClipped,060475,,74,30453,1,0.97,18.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,87,30457,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,055599,Fall,76,30459,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:14,MWTR,CHN,AdClipped,055596,Fall,83,30460,1,0.82,15.8
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,055597,Fall,84,30466,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,90,30470,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,90,30471,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,89,30474,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060475,,73,30475,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,055593,Fall,80,30478,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,060463,Spring,85,30480,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,89,30484,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,96,30485,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,88,30487,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,97,30488,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,96,30493,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,95,30494,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,5/9/13,11:05,MWTR,CHN,AdClipped,060476,,73,30495,1,0.99,
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,86,30499,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,5/7/13,10:03,MWTR,CHN,AdClipped,060475,,68,30502,1,0.97,18.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,89,30507,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,055608,Fall,80,30508,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,88,30512,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,89,30513,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,94,30515,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,95,30516,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,5/9/13,11:05,MWTR,CHN,AdClipped,060476,,72,30517,1,0.99,
Sherwood Harbor,628707,4265965,SR055M,4/15/13,7:29,MWTR,CHN,AdClipped,060463,Spring,88,31670,1,0.88,17.3
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055593,Fall,78,32229,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:28,MWTR,CHN,AdClipped,060463,Spring,97,32230,1,0.88,15.5
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,055597,Fall,81,32231,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/17/13,7:45,MWTR,CHN,AdClipped,055599,Fall,82,32232,1,0.83,15.8
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055608,Fall,80,32233,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055609,Fall,73,32234,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:07,MWTR,CHN,AdClipped,060463,Spring,77,32235,1,0.89,15.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060474,,78,32239,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,8:17,MWTR,CHN,AdClipped,060474,,82,32240,1,1.02,19.2
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060475,,75,32241,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055596,Fall,78,32242,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055609,Fall,75,32243,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/17/13,10:19,MWTR,CHN,AdClipped,060463,Spring,92,32244,1,0.92,15.5
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,060463,Spring,83,32245,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/17/13,7:45,MWTR,CHN,AdClipped,060463,Spring,90,32246,1,0.83,15.8
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055593,Fall,83,32247,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055597,Fall,84,32248,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:07,MWTR,CHN,AdClipped,055599,Fall,78,32249,1,0.89,15.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060475,,70,32253,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,8:17,MWTR,CHN,AdClipped,060475,,70,32254,1,1.02,19.2
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:11,MWTR,CHN,AdClipped,060474,,75,32255,1,1.02,19.1
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055608,Fall,75,32256,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055599,Fall,78,32257,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/17/13,10:19,MWTR,CHN,AdClipped,060463,Spring,88,32258,1,0.92,15.5
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,055596,Fall,83,32259,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,055596,Fall,80,32260,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055598,Fall,83,32261,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,8:47,MWTR,CHN,AdClipped,055598,Fall,82,32262,1,0.88,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:07,MWTR,CHN,AdClipped,055609,Fall,73,32263,1,0.89,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,9:40,MWTR,CHN,AdClipped,055597,Fall,73,32264,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,5/7/13,9:36,MWTR,CHN,AdClipped,060475,,75,32267,1,0.94,19.1
Sherwood Harbor,628707,4265965,SR055M,5/7/13,8:17,MWTR,CHN,AdClipped,060474,,69,32268,1,1.02,19.2
Sherwood Harbor,628707,4265965,SR055M,5/7/13,8:17,MWTR,CHN,AdClipped,060475,,72,32269,1,1.02,19.2
Sherwood Harbor,628707,4265965,SR055M,4/19/13,11:28,MWTR,CHN,AdClipped,055609,Fall,79,32270,1,0.86,16.1
Sherwood Harbor,628707,4265965,SR055M,4/19/13,10:34,MWTR,CHN,AdClipped,055596,Fall,80,32271,1,0.84,15.9
Sherwood Harbor,628707,4265965,SR055M,4/17/13,7:45,MWTR,CHN,AdClipped,060463,Spring,91,32272,1,0.83,15.8
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,055593,Fall,82,32273,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:10,MWTR,CHN,AdClipped,055597,Fall,80,32274,1,0.83,15.6
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055596,Fall,81,32275,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055596,Fall,85,32276,1,0.72,15.9
